1 => 4(1)
4 => 1(1)
4 => 1(1)
1 => 4(1)
1 => 9(1)
9 => 1(1)
9 => 1(1)
1 => 9(1)
1 => 11(1)
11 => 1(1)
11 => 1(1)
1 => 11(1)
1 => 13(1)
13 => 1(1)
13 => 1(1)
1 => 13(1)
2 => 4(1)
4 => 2(1)
4 => 2(1)
2 => 4(1)
2 => 9(1)
9 => 2(1)
9 => 2(1)
2 => 9(1)
2 => 11(1)
11 => 2(1)
11 => 2(1)
2 => 11(1)
4 => 7(1)
7 => 4(1)
7 => 4(1)
4 => 7(1)
4 => 9(1)
9 => 4(1)
9 => 4(1)
4 => 9(1)
4 => 11(1)
11 => 4(1)
11 => 4(1)
4 => 11(1)
4 => 13(1)
13 => 4(1)
13 => 4(1)
4 => 13(1)
7 => 9(1)
9 => 7(1)
9 => 7(1)
7 => 9(1)
7 => 11(1)
11 => 7(1)
11 => 7(1)
7 => 11(1)
7 => 13(1)
13 => 7(1)
13 => 7(1)
7 => 13(1)
9 => 11(1)
11 => 9(1)
11 => 9(1)
9 => 11(1)
9 => 13(1)
13 => 9(1)
13 => 9(1)
9 => 13(1)
11 => 13(1)
13 => 11(1)
13 => 11(1)
11 => 13(1)
1 4 => 9(1)
9 => 1 4(1)
1 9 => 4(1)
4 => 1 9(1)
1 => 4 9(1)
4 9 => 1(1)
4 9 => 1(1)
1 => 4 9(1)
4 => 1 9(1)
1 9 => 4(1)
9 => 1 4(1)
1 4 => 9(1)
1 4 => 11(1)
11 => 1 4(1)
1 11 => 4(1)
4 => 1 11(1)
1 => 4 11(1)
4 11 => 1(1)
4 11 => 1(1)
1 => 4 11(1)
4 => 1 11(1)
1 11 => 4(1)
11 => 1 4(1)
1 4 => 11(1)
1 4 => 13(1)
13 => 1 4(1)
1 13 => 4(1)
4 => 1 13(1)
1 => 4 13(1)
4 13 => 1(1)
4 13 => 1(1)
1 => 4 13(1)
4 => 1 13(1)
1 13 => 4(1)
13 => 1 4(1)
1 4 => 13(1)
1 9 => 11(1)
11 => 1 9(1)
1 11 => 9(1)
9 => 1 11(1)
1 => 9 11(1)
9 11 => 1(1)
9 11 => 1(1)
1 => 9 11(1)
9 => 1 11(1)
1 11 => 9(1)
11 => 1 9(1)
1 9 => 11(1)
1 9 => 13(1)
13 => 1 9(1)
1 13 => 9(1)
9 => 1 13(1)
1 => 9 13(1)
9 13 => 1(1)
9 13 => 1(1)
1 => 9 13(1)
9 => 1 13(1)
1 13 => 9(1)
13 => 1 9(1)
1 9 => 13(1)
1 11 => 13(1)
13 => 1 11(1)
1 13 => 11(1)
11 => 1 13(1)
1 => 11 13(1)
11 13 => 1(1)
11 13 => 1(1)
1 => 11 13(1)
11 => 1 13(1)
1 13 => 11(1)
13 => 1 11(1)
1 11 => 13(1)
2 4 => 9(1)
9 => 2 4(1)
2 9 => 4(1)
4 => 2 9(1)
2 => 4 9(1)
4 9 => 2(1)
4 9 => 2(1)
2 => 4 9(1)
4 => 2 9(1)
2 9 => 4(1)
9 => 2 4(1)
2 4 => 9(1)
2 4 => 11(1)
11 => 2 4(1)
2 11 => 4(1)
4 => 2 11(1)
2 => 4 11(1)
4 11 => 2(1)
4 11 => 2(1)
2 => 4 11(1)
4 => 2 11(1)
2 11 => 4(1)
11 => 2 4(1)
2 4 => 11(1)
2 9 => 11(1)
11 => 2 9(1)
2 11 => 9(1)
9 => 2 11(1)
2 => 9 11(1)
9 11 => 2(1)
9 11 => 2(1)
2 => 9 11(1)
9 => 2 11(1)
2 11 => 9(1)
11 => 2 9(1)
2 9 => 11(1)
4 7 => 9(1)
9 => 4 7(1)
4 9 => 7(1)
7 => 4 9(1)
4 => 7 9(1)
7 9 => 4(1)
7 9 => 4(1)
4 => 7 9(1)
7 => 4 9(1)
4 9 => 7(1)
9 => 4 7(1)
4 7 => 9(1)
4 7 => 11(1)
11 => 4 7(1)
4 11 => 7(1)
7 => 4 11(1)
4 => 7 11(1)
7 11 => 4(1)
7 11 => 4(1)
4 => 7 11(1)
7 => 4 11(1)
4 11 => 7(1)
11 => 4 7(1)
4 7 => 11(1)
4 9 => 11(1)
11 => 4 9(1)
4 11 => 9(1)
9 => 4 11(1)
4 => 9 11(1)
9 11 => 4(1)
9 11 => 4(1)
4 => 9 11(1)
9 => 4 11(1)
4 11 => 9(1)
